令和４年,医療施設調査,令和４（２０２２）年１０月１日,
二次医療圏・市区町村編　第１表　病院数；病床数，病院－病床の種類・二次医療圏・市区町村別
,施設数,,,,,,病床数,,,,,,
,総　数,精神科,一般病院,,地域医,救　急,総　数,精　神,感染症,結　核,療　養,一　般,地域医
,,病　院,総数,療養病床,療支援,告　示,,病　床,病　床,病　床,病　床,病　床,療支援
,,,,を有する,病　院,病　院,,,,,,,病　院
,,,,病院,(再掲),(再掲),,,,,,,(再掲)
,,,,(再掲),,,,,,,,,
,,,,,,,,,,,,,
04205 気仙沼市　　　,4,2,2,-,-,1,838,460,4,-,-,374,-
04212 登米市　　　　,5,1,4,2,-,3,683,120,-,-,80,483,-
04214 東松島市　　　,2,-,2,1,-,2,272,-,-,-,99,173,-
04581 女川町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
04606 南三陸町　　　,1,-,1,1,-,1,90,-,-,-,50,40,-
05　　秋田県　,65,16,49,23,2,27,14089,3866,32,44,1832,8315,677
0501　大館・鹿角　　　　　,9,2,7,4,-,3,1455,324,4,6,273,848,-
05204 大館市　　　　,6,2,4,2,-,2,1103,324,2,6,120,651,-
05209 鹿角市　　　　,3,-,3,2,-,1,352,-,2,-,153,197,-
05303 小坂町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0502　北秋田　　　　　　　,2,1,1,1,-,1,464,184,4,4,48,224,-
05213 北秋田市　　　,2,1,1,1,-,1,464,184,4,4,48,224,-
05327 上小阿仁村　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0503　能代・山本　　　　　,6,1,5,3,1,3,1157,270,4,-,229,654,197
05202 能代市　　　　,5,1,4,2,1,3,1023,270,4,-,95,654,197
05346 藤里町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
05348 三種町　　　　,1,-,1,1,-,-,134,-,-,-,134,-,-
05349 八峰町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0504　秋田周辺　　　　　　,26,7,19,8,1,8,5981,1833,4,22,924,3198,480
05201 秋田市　　　　,22,7,15,7,1,6,5332,1713,4,22,780,2813,480
05206 男鹿市　　　　,1,-,1,-,-,1,145,-,-,-,-,145,-
05211 潟上市　　　　,2,-,2,1,-,1,404,120,-,-,144,140,-
05361 五城目町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
05363 八郎潟町　　　,1,-,1,-,-,-,100,-,-,-,-,100,-
05366 井川町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
05368 大潟村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0505　由利本荘・にかほ　　,7,2,5,1,-,3,1711,336,4,6,50,1315,-
05210 由利本荘市　　,6,1,5,1,-,3,1575,200,4,6,50,1315,-
05214 にかほ市　　　,1,1,-,-,-,-,136,136,-,-,-,-,-
0506　大仙・仙北　　　　　,8,1,7,4,-,3,1456,476,4,-,203,773,-
05212 大仙市　　　　,6,1,5,4,-,2,1190,440,4,-,203,543,-
05215 仙北市　　　　,2,-,2,-,-,1,266,36,-,-,-,230,-
05434 美郷町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0507　横手　　　　　　　　,4,1,3,1,-,4,1216,273,4,6,50,883,-
05203 横手市　　　　,4,1,3,1,-,4,1216,273,4,6,50,883,-
0508　湯沢・雄勝　　　　　,3,1,2,1,-,2,649,170,4,-,55,420,-
05207 湯沢市　　　　,2,1,1,-,-,1,536,170,4,-,-,362,-
05463 羽後町　　　　,1,-,1,1,-,1,113,-,-,-,55,58,-
05464 東成瀬村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
06　　山形県　,67,14,53,22,7,35,14113,3461,18,30,2068,8536,3579
0601　村山　　　　　　　　,33,8,25,9,3,19,7604,2201,8,30,858,4507,1610
06201 山形市　　　　,17,4,13,3,3,10,5040,1129,2,30,300,3579,1610
06206 寒河江市　　　,2,1,1,1,-,1,228,130,-,-,42,56,-
06207 上山市　　　　,3,1,2,1,-,1,597,354,-,-,90,153,-
06208 村山市　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
06210 天童市　　　　,4,1,3,2,-,3,560,286,-,-,78,196,-
06211 東根市　　　　,2,-,2,1,-,1,622,-,-,-,322,300,-
06212 尾花沢市　　　,1,-,1,1,-,-,152,126,-,-,26,-,-
06301 山辺町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
06302 中山町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
06321 河北町　　　　,2,1,1,-,-,1,312,176,6,-,-,130,-
06322 西川町　　　　,1,-,1,-,-,1,43,-,-,-,-,43,-
06323 朝日町　　　　,1,-,1,-,-,1,50,-,-,-,-,50,-
06324 大江町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
06341 大石田町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0602　最上　　　　　　　　,5,1,4,1,-,4,1019,180,2,-,92,745,-
06205 新庄市　　　　,3,1,2,1,-,2,904,180,2,-,92,630,-
06361 金山町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
06362 最上町　　　　,1,-,1,-,-,1,60,-,-,-,-,60,-
06363 舟形町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
06364 真室川町　　　,1,-,1,-,-,1,55,-,-,-,-,55,-
06365 大蔵村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
06366 鮭川村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
06367 戸沢村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0603　置賜　　　　　　　　,15,2,13,5,2,6,2395,430,4,-,374,1587,818
06202 米沢市　　　　,6,1,5,2,1,3,1141,120,-,-,174,847,322
06209 長井市　　　　,2,-,2,1,-,-,250,150,-,-,50,50,-
06213 南陽市　　　　,2,1,1,-,-,-,164,114,-,-,-,50,-
06381 高畠町　　　　,1,-,1,1,-,1,130,-,-,-,41,89,-
06382 川西町　　　　,2,-,2,1,1,1,605,46,4,-,109,446,496
06401 小国町　　　　,1,-,1,-,-,-,45,-,-,-,-,45,-
06402 白鷹町　　　　,1,-,1,-,-,1,60,-,-,-,-,60,-
06403 飯豊町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0604　庄内　　　　　　　　,14,3,11,7,2,6,3095,650,4,-,744,1697,1151
06203 鶴岡市　　　　,6,1,5,2,1,3,1251,214,-,-,276,761,521
06204 酒田市　　　　,5,2,3,2,1,2,1242,340,4,-,164,734,630
06426 三川町　　　　,1,-,1,1,-,-,194,96,-,-,98,-,-
06428 庄内町　　　　,1,-,1,1,-,1,324,-,-,-,122,202,-
06461 遊佐町　　　　,1,-,1,1,-,-,84,-,-,-,84,-,-
07　　福島県　,124,23,101,46,9,51,24081,6134,32,67,2983,14865,4007
0701　県北　　　　　　　　,31,8,23,7,3,16,5884,1520,8,26,359,3971,875
07201 福島市　　　　,21,6,15,4,2,10,4170,1132,8,14,215,2801,649
07210 二本松市　　　,3,-,3,1,-,2,485,-,-,-,54,431,-
07213 伊達市　　　　,3,1,2,1,1,1,452,176,-,-,50,226,226
07214 本宮市　　　　,2,1,1,1,-,1,376,212,-,-,40,124,-
07301 桑折町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07303 国見町　　　　,1,-,1,-,-,1,311,-,-,12,-,299,-
07308 川俣町　　　　,1,-,1,-,-,1,90,-,-,-,-,90,-
07322 大玉村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0702　県中　　　　　　　　,32,4,28,12,3,10,6987,1712,6,-,740,4529,1196
07203 郡山市　　　　,22,3,19,8,3,7,5495,1497,-,-,487,3511,1196
07207 須賀川市　　　,6,1,5,2,-,2,1113,215,6,-,86,806,-
07211 田村市　　　　,1,-,1,-,-,-,32,-,-,-,-,32,-
07342 鏡石町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07344 天栄村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07501 石川町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07502 玉川村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07503 平田村　　　　,1,-,1,1,-,1,142,-,-,-,108,34,-
07504 浅川町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07505 古殿町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07521 三春町　　　　,1,-,1,-,-,-,86,-,-,-,-,86,-
07522 小野町　　　　,1,-,1,1,-,-,119,-,-,-,59,60,-
0703　県南　　　　　　　　,7,2,5,2,-,4,1497,470,4,12,125,886,-
07205 白河市　　　　,2,-,2,-,-,2,621,-,4,12,-,605,-
07461 西郷村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07464 泉崎村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07465 中島村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07466 矢吹町　　　　,3,2,1,1,-,1,539,346,-,-,91,102,-
07481 棚倉町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07482 矢祭町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07483 塙町　　　　　,2,-,2,1,-,1,337,124,-,-,34,179,-
07484 鮫川村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0706　相双　　　　　　　　,10,1,9,5,-,8,1485,303,-,-,302,880,-
07209 相馬市　　　　,2,-,2,1,-,2,295,-,-,-,48,247,-
07212 南相馬市　　　,5,1,4,3,-,4,911,254,-,-,194,463,-
07541 広野町　　　　,1,-,1,1,-,-,109,49,-,-,60,-,-
07542 楢葉町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07543 富岡町　　　　,1,-,1,-,-,1,30,-,-,-,-,30,-
07544 川内村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07545 大熊町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07546 双葉町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07547 浪江町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07548 葛尾村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07561 新地町　　　　,1,-,1,-,-,1,140,-,-,-,-,140,-
07564 飯舘村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0707　いわき　　　　　　　,26,6,20,13,2,6,4550,1195,6,15,962,2372,1099
07204 いわき市　　　,26,6,20,13,2,6,4550,1195,6,15,962,2372,1099
0708　会津・南会津　　　　,18,2,16,7,1,7,3678,934,8,14,495,2227,837
07202 会津若松市　　,7,1,6,2,1,3,2417,524,8,14,193,1678,837
07208 喜多方市　　　,6,1,5,4,-,1,854,410,-,-,249,195,-
07362 下郷町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07364 檜枝岐村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07367 只見町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07368 南会津町　　　,1,-,1,-,-,1,98,-,-,-,-,98,-
07402 北塩原村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07405 西会津町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07407 磐梯町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07408 猪苗代町　　　,1,-,1,-,-,-,65,-,-,-,-,65,-
07421 会津坂下町　　,1,-,1,-,-,1,159,-,-,-,-,159,-
07422 湯川村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07423 柳津町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07444 三島町　　　　,1,-,1,-,-,-,32,-,-,-,-,32,-
07445 金山町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07446 昭和村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
07447 会津美里町　　,1,-,1,1,-,1,53,-,-,-,53,-,-
08　　茨城県　,173,20,153,75,22,83,30530,7243,48,80,5321,17838,8477
0801　水戸　　　　　　　　,39,3,36,13,6,16,6178,1228,10,25,846,4069,2418
08201 水戸市　　　　,25,1,24,8,4,11,3314,178,10,-,536,2590,1418
08216 笠間市　　　　,5,1,4,1,1,1,1215,525,-,25,54,611,500
08236 小美玉市　　　,5,1,4,2,-,2,625,281,-,-,174,170,-
08302 茨城町　　　　,2,-,2,1,1,1,791,244,-,-,47,500,500
08309 大洗町　　　　,1,-,1,1,-,1,177,-,-,-,35,142,-
08310 城里町　　　　,1,-,1,-,-,-,56,-,-,-,-,56,-
0802　日立　　　　　　　　,21,3,18,9,1,9,3783,1303,4,-,651,1825,651
08202 日立市　　　　,14,2,12,5,1,6,2752,1032,4,-,403,1313,651
08214 高萩市　　　　,4,1,3,1,-,2,591,150,-,-,104,337,-
08215 北茨城市　　　,3,-,3,3,-,1,440,121,-,-,144,175,-
0803　常陸太田・ひたちなか,20,2,18,10,2,10,2402,323,6,20,527,1526,648
08212 常陸太田市　　,4,-,4,3,-,2,365,-,-,-,170,195,-
08221 ひたちなか市　,5,-,5,2,1,3,500,-,2,-,55,443,302
08225 常陸大宮市　　,2,-,2,1,-,1,338,-,4,-,48,286,-
08226 那珂市　　　　,4,1,3,3,-,2,552,203,-,-,214,135,-
08341 東海村　　　　,2,-,2,1,1,2,426,-,-,20,40,366,346
08364 大子町　　　　,3,1,2,-,-,-,221,120,-,-,-,101,-
0804　鹿行　　　　　　　　,11,-,11,6,-,5,1704,178,4,2,540,980,-
08222 鹿嶋市　　　　,4,-,4,3,-,1,691,178,4,2,236,271,-
08223 潮来市　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
08232 神栖市　　　　,4,-,4,3,-,2,697,-,-,-,304,393,-
08233 行方市　　　　,1,-,1,-,-,-,199,-,-,-,-,199,-
08234 鉾田市　　　　,2,-,2,-,-,2,117,-,-,-,-,117,-
0805　土浦　　　　　　　　,17,4,13,7,2,7,3084,1168,6,-,462,1448,1050
08203 土浦市　　　　,8,2,6,2,2,4,1849,486,6,-,142,1215,1050
08205 石岡市　　　　,9,2,7,5,-,3,1235,682,-,-,320,233,-
08230 かすみがうら市,-,-,-,-,-,-,-,-,-,-,-,-,-
0806　つくば　　　　　　　,16,2,14,7,2,9,3793,516,6,33,617,2621,940
08211 常総市　　　　,4,1,3,2,-,2,556,219,-,-,96,241,-
08220 つくば市　　　,12,1,11,5,2,7,3237,297,6,33,521,2380,940
08235 つくばみらい市,-,-,-,-,-,-,-,-,-,-,-,-,-
0807　取手・竜ヶ崎　　　　,23,4,19,8,5,12,4719,1151,8,-,567,2993,1637
08208 龍ケ崎市　　　,3,1,2,1,1,1,493,172,-,-,60,261,210
08217 取手市　　　　,8,-,8,3,2,5,1063,127,8,-,111,817,613
08219 牛久市　　　　,2,-,2,1,1,2,802,-,-,-,55,747,313
08224 守谷市　　　　,3,-,3,1,-,2,559,-,-,-,72,487,-
08229 稲敷市　　　　,3,2,1,1,-,-,874,731,-,-,143,-,-
08442 美浦村　　　　,1,-,1,1,-,1,186,-,-,-,126,60,-
08443 阿見町　　　　,3,1,2,-,1,1,742,121,-,-,-,621,501
08447 河内町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
08564 利根町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0808　筑西・下妻　　　　　,14,1,13,11,1,7,2291,377,-,-,893,1021,250
08207 結城市　　　　,2,-,2,2,-,2,455,-,-,-,179,276,-
08210 下妻市　　　　,3,-,3,3,-,1,236,-,-,-,103,133,-
08227 筑西市　　　　,6,1,5,3,1,3,1181,342,-,-,307,532,250
08231 桜川市　　　　,2,-,2,2,-,1,364,35,-,-,249,80,-
08521 八千代町　　　,1,-,1,1,-,-,55,-,-,-,55,-,-
0809　古河・坂東　　　　　,12,1,11,4,3,8,2576,999,4,-,218,1355,883
08204 古河市　　　　,9,1,8,3,2,5,1680,649,2,-,168,861,525
08228 坂東市　　　　,2,-,2,1,-,2,538,350,-,-,50,138,-
08542 五霞町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
08546 境町　　　　　,1,-,1,-,1,1,358,-,2,-,-,356,358
09　　栃木県　,109,18,91,55,10,58,21136,4963,31,30,3966,12146,4075
0901　県北　　　　　　　　,21,4,17,11,1,12,3817,1071,6,-,706,2034,460
09210 大田原市　　　,4,-,4,1,1,2,888,175,6,-,73,634,460
09211 矢板市　　　　,3,1,2,2,-,1,666,282,-,-,188,196,-
09213 那須塩原市　　,6,-,6,4,-,6,1160,-,-,-,246,914,-
09214 さくら市　　　,2,1,1,1,-,1,361,171,-,-,46,144,-
09215 那須烏山市　　,2,1,1,1,-,1,272,122,-,-,50,100,-
09384 塩谷町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
09386 高根沢町　　　,2,-,2,1,-,1,99,-,-,-,53,46,-
09407 那須町　　　　,1,1,-,-,-,-,321,321,-,-,-,-,-
09411 那珂川町　　　,1,-,1,1,-,-,50,-,-,-,50,-,-
0902　県西　　　　　　　　,11,2,9,6,1,8,1737,441,4,-,446,846,199
09205 鹿沼市　　　　,3,1,2,1,-,2,822,321,-,-,144,357,-
09206 日光市　　　　,8,1,7,5,1,6,915,120,4,-,302,489,199
0903　宇都宮　　　　　　　,33,5,28,16,3,14,6395,1877,6,30,1396,3086,1374
09201 宇都宮市　　　,33,5,28,16,3,14,6395,1877,6,30,1396,3086,1374
0904　県東　　　　　　　　,5,-,5,4,1,3,1017,240,4,-,181,592,364
09209 真岡市　　　　,3,-,3,2,1,3,670,-,4,-,108,558,364
09342 益子町　　　　,1,-,1,1,-,-,273,240,-,-,33,-,-
09343 茂木町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
09344 市貝町　　　　,1,-,1,1,-,-,74,-,-,-,40,34,-
09345 芳賀町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0905　県南　　　　　　　　,23,3,20,9,2,13,5257,660,7,-,730,3860,607
09203 栃木市　　　　,6,1,5,2,1,3,909,144,6,-,177,582,307
09208 小山市　　　　,9,1,8,3,1,4,1129,221,-,-,248,660,300
09216 下野市　　　　,4,1,3,2,-,3,1649,253,1,-,99,1296,-
09301 上三川町　　　,1,-,1,1,-,1,209,-,-,-,171,38,-
09361 壬生町　　　　,1,-,1,-,-,1,1195,42,-,-,-,1153,-
09364 野木町　　　　,2,-,2,1,-,1,166,-,-,-,35,131,-
0906　両毛　　　　　　　　,16,4,12,9,2,8,2913,674,4,-,507,1728,1071
09202 足利市　　　　,12,3,9,6,1,6,1822,440,-,-,309,1073,540
09204 佐野市　　　　,4,1,3,3,1,2,1091,234,4,-,198,655,531
10　　群馬県　,127,13,114,61,13,72,23420,4993,52,65,4029,14281,4942
1001　前橋　　　　　　　　,20,2,18,6,4,10,4355,922,8,9,382,3034,1406
10201 前橋市　　　　,20,2,18,6,4,10,4355,922,8,9,382,3034,1406
1002　渋川　　　　　　　　,10,3,7,2,1,5,2183,977,4,46,100,1056,450
10208 渋川市　　　　,9,3,6,2,1,5,1689,581,4,46,100,958,450
10344 榛東村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
10345 吉岡町　　　　,1,-,1,-,-,-,494,396,-,-,-,98,-
1003　伊勢崎　　　　　　　,11,2,9,6,2,7,2649,757,4,-,420,1468,749
10204 伊勢崎市　　　,10,2,8,5,2,6,2524,757,4,-,372,1391,749
10464 玉村町　　　　,1,-,1,1,-,1,125,-,-,-,48,77,-
1004　高崎・安中　　　　　,30,1,29,15,2,19,4490,878,6,10,937,2659,772
10202 高崎市　　　　,25,1,24,11,2,16,4039,878,6,-,781,2374,772
10211 安中市　　　　,5,-,5,4,-,3,451,-,-,10,156,285,-
1005　藤岡　　　　　　　　,5,-,5,3,1,4,866,-,4,-,155,707,399
10209 藤岡市　　　　,5,-,5,3,1,4,866,-,4,-,155,707,399
10366 上野村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
10367 神流町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
1006　富岡　　　　　　　　,4,-,4,2,-,2,998,360,4,-,107,527,-
10210 富岡市　　　　,3,-,3,2,-,1,904,360,4,-,107,433,-
10382 下仁田町　　　,1,-,1,-,-,1,94,-,-,-,-,94,-
10383 南牧村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
10384 甘楽町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
1007　吾妻　　　　　　　　,9,1,8,5,-,5,1327,223,4,-,396,704,-
10421 中之条町　　　,4,1,3,3,-,2,556,223,-,-,263,70,-
10424 長野原町　　　,2,-,2,-,-,2,113,-,-,-,-,113,-
10425 嬬恋村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
10426 草津町　　　　,2,-,2,1,-,-,459,-,-,-,114,345,-
10428 高山村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
10429 東吾妻町　　　,1,-,1,1,-,1,199,-,4,-,19,176,-
1008　沼田　　　　　　　　,7,-,7,4,-,7,962,-,4,-,270,688,-
10206 沼田市　　　　,4,-,4,1,-,4,615,-,4,-,50,561,-
10443 片品村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
10444 川場村　　　　,1,-,1,1,-,1,199,-,-,-,144,55,-
10448 昭和村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
10449 みなかみ町　　,2,-,2,2,-,2,148,-,-,-,76,72,-
1009　桐生　　　　　　　　,12,1,11,7,1,4,2065,286,4,-,553,1222,433
10203 桐生市　　　　,8,1,7,3,1,2,1162,286,4,-,139,733,433
10212 みどり市　　　,4,-,4,4,-,2,903,-,-,-,414,489,-
1010　太田・館林　　　　　,19,3,16,11,2,9,3525,590,10,-,709,2216,733
10205 太田市　　　　,11,2,9,7,1,6,2456,418,4,-,462,1572,404
10207 館林市　　　　,5,1,4,2,1,2,876,172,6,-,158,540,329
10521 板倉町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
10522 明和町　　　　,1,-,1,-,-,-,39,-,-,-,-,39,-
10523 千代田町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
10524 大泉町　　　　,1,-,1,1,-,-,74,-,-,-,48,26,-
10525 邑楽町　　　　,1,-,1,1,-,1,80,-,-,-,41,39,-
11　　埼玉県　,342,46,296,121,24,179,62890,13738,78,130,11095,37849,12115
1101　南部　　　　　　　　,29,2,27,13,3,22,5304,988,-,-,871,3445,1480
11203 川口市　　　　,20,1,19,9,2,17,3560,438,-,-,520,2602,963
11223 蕨市　　　　　,3,-,3,2,-,1,236,-,-,-,106,130,-
11224 戸田市　　　　,6,1,5,2,1,4,1508,550,-,-,245,713,517
1102　南西部　　　　　　　,30,3,27,8,1,19,5652,1106,4,-,906,3636,550
11227 朝霞市　　　　,4,1,3,-,-,3,692,101,-,-,-,591,-
11228 志木市　　　　,2,-,2,1,-,1,198,-,-,-,98,100,-
11229 和光市　　　　,5,1,4,2,1,2,1365,565,4,-,171,625,550
11230 新座市　　　　,6,-,6,2,-,3,1041,-,-,-,244,797,-
11235 富士見市　　　,5,-,5,-,-,4,656,-,-,-,-,656,-
11245 ふじみ野市　　,3,-,3,2,-,3,590,-,-,-,191,399,-
11324 三芳町　　　　,5,1,4,1,-,3,1110,440,-,-,202,468,-
1103　東部　　　　　　　　,50,7,43,15,1,21,9326,1969,2,-,1345,6010,923
11214 春日部市　　　,13,1,12,7,-,7,2403,412,2,-,460,1529,-
11221 草加市　　　　,6,-,6,-,-,2,656,-,-,-,-,656,-
11222 越谷市　　　　,15,3,12,3,1,5,3108,694,-,-,321,2093,923
11234 八潮市　　　　,4,1,3,1,-,2,1075,454,-,-,311,310,-
11237 三郷市　　　　,7,1,6,1,-,3,1308,229,-,-,115,964,-
11243 吉川市　　　　,2,1,1,1,-,1,452,180,-,-,30,242,-
11465 松伏町　　　　,3,-,3,2,-,1,324,-,-,-,108,216,-
1104　さいたま　　　　　　,39,4,35,12,6,24,7986,1165,11,20,1208,5582,2954
11101 西区　　　　　,4,1,3,2,1,2,926,120,-,-,291,515,340
11102 北区　　　　　,3,-,3,1,-,3,756,-,1,-,93,662,-
11103 大宮区　　　　,5,-,5,1,1,4,1093,102,-,-,34,957,628
11104 見沼区　　　　,4,1,3,3,-,1,811,281,-,-,275,255,-
11105 中央区　　　　,3,-,3,-,2,2,1313,249,-,-,-,1064,954
11106 桜区　　　　　,3,-,3,2,-,2,589,-,-,-,226,363,-
11107 浦和区　　　　,4,-,4,-,1,2,515,-,-,-,-,515,395
11108 南区　　　　　,4,2,2,-,-,1,471,383,-,-,-,88,-
11109 緑区　　　　　,3,-,3,1,1,3,802,30,10,20,37,705,637
11110 岩槻区　　　　,6,-,6,2,-,4,710,-,-,-,252,458,-
1105　県央　　　　　　　　,18,3,15,9,2,8,3946,742,9,-,826,2369,1105
11217 鴻巣市　　　　,4,1,3,1,-,3,841,379,-,-,176,286,-
11219 上尾市　　　　,5,1,4,2,1,2,1317,180,9,-,155,973,733
11231 桶川市　　　　,2,-,2,2,-,1,260,-,-,-,136,124,-
11233 北本市　　　　,2,-,2,1,1,1,568,-,-,-,196,372,372
11301 伊奈町　　　　,5,1,4,3,-,1,960,183,-,-,163,614,-
1106　川越比企　　　　　　,48,8,40,16,3,20,9371,2446,10,-,1913,5002,1543
11201 川越市　　　　,24,6,18,8,1,9,4318,1067,-,-,919,2332,1039
11212 東松山市　　　,7,1,6,2,1,6,1112,364,4,-,160,584,202
11239 坂戸市　　　　,5,-,5,3,-,1,432,-,-,-,196,236,-
11241 鶴ヶ島市　　　,2,-,2,1,-,1,319,-,-,-,90,229,-
11326 毛呂山町　　　,3,-,3,-,-,1,1926,691,6,-,-,1229,-
11327 越生町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
11341 滑川町　　　　,1,1,-,-,-,-,274,274,-,-,-,-,-
11342 嵐山町　　　　,1,-,1,-,-,-,65,-,-,-,-,65,-
11343 小川町　　　　,3,-,3,-,1,2,377,50,-,-,-,327,302
11346 川島町　　　　,1,-,1,1,-,-,238,-,-,-,238,-,-
11347 吉見町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
11348 鳩山町　　　　,1,-,1,1,-,-,310,-,-,-,310,-,-
11349 ときがわ町　　,-,-,-,-,-,-,-,-,-,-,-,-,-
11369 東秩父村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
1107　西部　　　　　　　　,54,9,45,19,3,25,9631,2472,9,-,2231,4919,1497
11208 所沢市　　　　,24,3,21,10,1,9,4289,816,9,-,1385,2079,325
11209 飯能市　　　　,7,3,4,1,-,3,1456,878,-,-,220,358,-
11215 狭山市　　　　,11,2,9,4,1,5,2077,573,-,-,449,1055,450
11225 入間市　　　　,9,1,8,3,-,5,846,205,-,-,117,524,-
11242 日高市　　　　,3,-,3,1,1,3,963,-,-,-,60,903,722
1108　利根　　　　　　　　,32,6,26,10,3,18,5614,1232,4,80,645,3653,1246
11206 行田市　　　　,2,-,2,2,1,2,664,-,-,-,114,550,504
11210 加須市　　　　,6,1,5,1,1,4,838,177,4,-,89,568,339
11216 羽生市　　　　,3,1,2,-,-,1,500,144,-,-,-,356,-
11232 久喜市　　　　,6,1,5,1,1,5,1212,442,-,-,36,734,403
11238 蓮田市　　　　,4,1,3,1,-,2,1055,120,-,80,72,783,-
11240 幸手市　　　　,6,1,5,3,-,3,802,229,-,-,257,316,-
11246 白岡市　　　　,4,1,3,1,-,1,506,120,-,-,40,346,-
11442 宮代町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
11464 杉戸町　　　　,1,-,1,1,-,-,37,-,-,-,37,-,-
1109　北部　　　　　　　　,34,4,30,14,2,17,5310,1618,29,30,913,2720,817
11202 熊谷市　　　　,12,2,10,3,1,5,2358,822,21,30,196,1289,343
11211 本庄市　　　　,11,1,10,7,-,6,1388,514,2,-,417,455,-
11218 深谷市　　　　,9,1,8,2,1,5,1329,282,6,-,204,837,474
11381 美里町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
