令和４年,医療施設調査,令和４（２０２２）年１０月１日,
二次医療圏・市区町村編　第１表　病院数；病床数，病院－病床の種類・二次医療圏・市区町村別
,施設数,,,,,,病床数,,,,,,
,総　数,精神科,一般病院,,地域医,救　急,総　数,精　神,感染症,結　核,療　養,一　般,地域医
,,病　院,総数,療養病床,療支援,告　示,,病　床,病　床,病　床,病　床,病　床,療支援
,,,,を有する,病　院,病　院,,,,,,,病　院
,,,,病院,(再掲),(再掲),,,,,,,(再掲)
,,,,(再掲),,,,,,,,,
,,,,,,,,,,,,,
01226 砂川市　　　　,2,1,1,-,-,1,622,204,4,6,-,408,-
01227 歌志内市　　　,1,-,1,1,-,-,60,-,-,-,60,-,-
01424 奈井江町　　　,1,-,1,1,-,1,50,-,-,-,50,-,-
01425 上砂川町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01431 浦臼町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01432 新十津川町　　,1,-,1,1,-,-,200,-,-,-,200,-,-
01436 雨竜町　　　　,1,-,1,1,-,-,108,-,-,-,108,-,-
0108　北空知　　　　　　　,5,2,3,2,-,1,1039,429,4,-,407,199,-
01228 深川市　　　　,5,2,3,2,-,1,1039,429,4,-,407,199,-
01433 妹背牛町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01434 秩父別町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01437 北竜町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01438 沼田町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0109　西胆振　　　　　　　,21,3,18,13,-,8,4769,1476,4,24,1319,1946,-
01205 室蘭市　　　　,7,1,6,3,-,4,2092,370,4,24,348,1346,-
01230 登別市　　　　,6,-,6,5,-,1,1228,694,-,-,424,110,-
01233 伊達市　　　　,3,1,2,2,-,1,824,222,-,-,332,270,-
01571 豊浦町　　　　,1,-,1,-,-,-,60,-,-,-,-,60,-
01575 壮瞥町　　　　,2,1,1,1,-,-,250,190,-,-,60,-,-
01584 洞爺湖町　　　,2,-,2,2,-,2,315,-,-,-,155,160,-
0110　東胆振　　　　　　　,15,3,12,6,-,6,2518,734,4,-,399,1381,-
01213 苫小牧市　　　,13,3,10,6,-,4,2430,734,4,-,399,1293,-
01578 白老町　　　　,1,-,1,-,-,1,48,-,-,-,-,48,-
01581 厚真町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01585 安平町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01586 むかわ町　　　,1,-,1,-,-,1,40,-,-,-,-,40,-
0111　日高　　　　　　　　,7,1,6,3,-,5,789,218,4,-,162,405,-
01601 日高町　　　　,1,-,1,-,-,1,34,-,-,-,-,34,-
01602 平取町　　　　,1,-,1,-,-,1,42,-,-,-,-,42,-
01604 新冠町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01607 浦河町　　　　,1,-,1,1,-,1,196,-,4,-,51,141,-
01608 様似町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01609 えりも町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01610 新ひだか町　　,4,1,3,2,-,2,517,218,-,-,111,188,-
0112　上川中部　　　　　　,38,4,34,20,3,20,7104,1056,9,20,1614,4405,1369
01204 旭川市　　　　,36,3,33,19,3,19,6886,936,9,20,1572,4349,1369
01452 鷹栖町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01453 東神楽町　　　,1,1,-,-,-,-,120,120,-,-,-,-,-
01454 当麻町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01455 比布町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01456 愛別町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01457 上川町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01458 東川町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01459 美瑛町　　　　,1,-,1,1,-,1,98,-,-,-,42,56,-
01472 幌加内町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0113　上川北部　　　　　　,7,-,7,5,-,4,916,55,4,-,301,556,-
01220 士別市　　　　,1,-,1,1,-,1,133,-,-,-,78,55,-
01221 名寄市　　　　,4,-,4,3,-,1,678,55,4,-,211,408,-
01464 和寒町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01465 剣淵町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01468 下川町　　　　,1,-,1,-,-,1,41,-,-,-,-,41,-
01469 美深町　　　　,1,-,1,1,-,1,64,-,-,-,12,52,-
01470 音威子府村　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01471 中川町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0114　富良野　　　　　　　,5,1,4,2,-,2,598,170,4,-,97,327,-
01229 富良野市　　　,3,1,2,2,-,1,524,170,4,-,97,253,-
01460 上富良野町　　,1,-,1,-,-,1,39,-,-,-,-,39,-
01461 中富良野町　　,1,-,1,-,-,-,35,-,-,-,-,35,-
01462 南富良野町　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01463 占冠村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0115　留萌　　　　　　　　,7,1,6,4,-,4,755,99,4,-,222,430,-
01212 留萌市　　　　,3,1,2,2,-,1,516,99,4,-,167,246,-
01481 増毛町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01482 小平町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01483 苫前町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01484 羽幌町　　　　,2,-,2,1,-,1,155,-,-,-,35,120,-
01485 初山別村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01486 遠別町　　　　,1,-,1,1,-,1,36,-,-,-,20,16,-
01487 天塩町　　　　,1,-,1,-,-,1,48,-,-,-,-,48,-
0116　宗谷　　　　　　　　,8,-,8,4,-,7,700,70,4,-,146,480,-
01214 稚内市　　　　,3,-,3,2,-,2,487,70,4,-,105,308,-
01511 猿払村　　　　,1,-,1,1,-,1,28,-,-,-,4,24,-
01512 浜頓別町　　　,1,-,1,-,-,1,40,-,-,-,-,40,-
01513 中頓別町　　　,1,-,1,-,-,1,20,-,-,-,-,20,-
01514 枝幸町　　　　,1,-,1,1,-,1,83,-,-,-,37,46,-
01516 豊富町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01517 礼文町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01518 利尻町　　　　,1,-,1,-,-,1,42,-,-,-,-,42,-
01519 利尻富士町　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01520 幌延町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0117　北網　　　　　　　　,25,3,22,12,1,15,3028,455,4,-,583,1986,532
01208 北見市　　　　,14,2,12,5,1,6,1737,290,2,-,300,1145,532
01211 網走市　　　　,4,1,3,2,-,3,623,105,2,-,87,429,-
01543 美幌町　　　　,2,-,2,1,-,1,249,60,-,-,30,159,-
01544 津別町　　　　,1,-,1,-,-,1,60,-,-,-,-,60,-
01545 斜里町　　　　,1,-,1,1,-,1,95,-,-,-,40,55,-
01546 清里町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01547 小清水町　　　,1,-,1,1,-,1,87,-,-,-,38,49,-
01549 訓子府町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01550 置戸町　　　　,1,-,1,1,-,1,95,-,-,-,48,47,-
01564 大空町　　　　,1,-,1,1,-,1,82,-,-,-,40,42,-
0118　遠紋　　　　　　　　,9,1,8,3,-,7,923,135,4,-,158,626,-
01219 紋別市　　　　,3,-,3,1,-,2,290,-,2,-,90,198,-
01552 佐呂間町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01555 遠軽町　　　　,3,1,2,1,-,2,511,135,2,-,50,324,-
01559 湧別町　　　　,1,-,1,-,-,1,47,-,-,-,-,47,-
01560 滝上町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01561 興部町　　　　,1,-,1,1,-,1,50,-,-,-,18,32,-
01562 西興部村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
